simulation,mean,min,max,std
28,0.5899602523252985,0.4005077858414155,0.8175297677698292,0.07117676290595285
29,0.5901382782852199,0.4004943026373273,0.8227893820163102,0.0754262287386203
30,0.5647265671781208,0.3297473291300099,0.7313038862500029,0.06708717931604687
31,0.5715610843564454,0.42205010470217724,0.7463647173625435,0.0574495674836389
32,0.5700452527021629,0.303898752231798,0.7548670623514722,0.07179990075409104
33,0.5614348460004429,0.36105860263102635,0.7612810866496631,0.07443599273130104
34,0.5821215810279363,0.3875367625181493,0.8099898482858567,0.0716708639621624
35,0.5678325640448822,0.37443084897563883,0.7533268009402113,0.07435018292592872
36,0.6005530429547848,0.41118076260881065,0.7691554119305535,0.06233632541911344
37,0.5688615510263606,0.40606726284617495,0.7619986861735529,0.06996537286491677
38,0.5743181159586714,0.3756088991003259,0.7990138274139567,0.07024578380073829
39,0.5778355692702518,0.4058516967168864,0.7213051177975636,0.06388702427473875
40,0.5623523630751225,0.364489321414063,0.7451401891047867,0.06909983993267901
41,0.5764716703178311,0.4031887340438848,0.7271664750996698,0.057993135179753484
42,0.5601867873941233,0.37641405842650427,0.7252470234265761,0.06282106698307477
43,0.5476229656549848,0.35536306591683386,0.7458843531699194,0.06418192326387732
44,0.5696434324218619,0.32760079361644645,0.7418916616797417,0.07478909109032567
45,0.5355621946108107,0.3147064023268553,0.705645470114596,0.06874029579049298
46,0.5717123598157641,0.39821300394470155,0.7614834868586214,0.05806461971026689
47,0.5870349898479748,0.4035171110466251,0.7974751703245778,0.07670614654149437
48,0.5464797457472335,0.34621789190390906,0.7052511863555527,0.06433234222100455
49,0.5609934380774899,0.3420650047991716,0.7411948681230893,0.06368507667221718
50,0.5721620320786212,0.3836735195969591,0.7712475984227742,0.0769311399805945
51,0.5533049684734171,0.37549102253796146,0.7875119754635819,0.06827401944987345
52,0.5382819901887752,0.35901119377261936,0.7309794643895573,0.06800675475482848
53,0.5679365548038484,0.38814455997799296,0.7047480573472619,0.05267766874625945
54,0.5571583187962924,0.34114871937612873,0.7081352391032967,0.058072506041508175
55,0.5609486412683586,0.35511528185855556,0.8028492864508232,0.07474875068184172
56,0.5676165432359189,0.36373271072282903,0.8167178322917263,0.08046708043716283
57,0.5512591702484618,0.38515884815144763,0.7076189148283125,0.05944392530135388
58,0.5565481577951162,0.3500746546936651,0.7987838054401324,0.07866472666742293
59,0.5584072132491728,0.41826378801300634,0.7281177050423471,0.05208633397827434
60,0.5758132811804583,0.40128983595957457,0.7593234483535313,0.06308562210941074
61,0.5860701505140662,0.3758239638739039,0.7991868515838012,0.08173159915051428
62,0.5684111264961605,0.4099045024152414,0.7374837627124389,0.06453585680230833
63,0.5511183856342489,0.35818614962311973,0.7403348978728851,0.06672359125436857
64,0.5739829498327284,0.30924426409015915,0.7348746638328393,0.07794466287295167
65,0.5737117096832139,0.3564317992068269,0.7774517443690676,0.0705987634924278
66,0.5715405499509446,0.37442414917156436,0.7648178109540081,0.07201717479258075
67,0.5662168341342707,0.3600436675539102,0.7186163398685091,0.04977987883189054
68,0.5500020956555737,0.3431472367216981,0.7215518057236313,0.06888068011446391
69,0.5724199296639135,0.34812891380967365,0.7801622512954555,0.061761112663453466
70,0.5796832068954122,0.3845691668873568,0.7318538563508112,0.060089239267048324
71,0.5629508022622335,0.3475716810051318,0.8331529360351381,0.08405662679541245
72,0.5873311828476407,0.4021056047140586,0.808703429260296,0.06509164533448333
73,0.5732082092133371,0.34839477258415136,0.7427062816549337,0.06305227165445662
74,0.5754778144811409,0.3936734645052351,0.7631946135033991,0.06922312590950726
75,0.5781690450985046,0.36432494244881986,0.76147522205599,0.06558568132336913
76,0.5489227606182826,0.3624572479315237,0.7318149139004652,0.07237615587214655
77,0.5775017037698399,0.36971296205945253,0.7569424898396536,0.06540072595415639
78,0.5664712487632138,0.3408851677298242,0.7511377652169023,0.06562116776854057
79,0.5758628146238782,0.40709287774897734,0.7614959914555013,0.06872448781204238
80,0.5791082873012148,0.39263214708822475,0.7797333973834143,0.0734929971010746
81,0.5645756787345046,0.39796466353218296,0.7207259504215016,0.06220425271043938
82,0.5785535964110076,0.37733184153745686,0.7558125098567758,0.07240977133633746
83,0.5706610936366129,0.35592359152582526,0.7788207697755108,0.0866139221506488
84,0.5627439834268841,0.3826470831330943,0.7689109099970406,0.07381872409564928
85,0.5535717328067989,0.37423492793624474,0.7648814249132466,0.0632106024455835
86,0.5618087485965474,0.4096916461843583,0.7442295939931197,0.06058145793391039
87,0.5673953274097486,0.4152800452311162,0.747293053697169,0.065231486976533
88,0.5841378680399502,0.40003110956030824,0.7522133315511371,0.05894874348332321
89,0.5759610123173139,0.41986083885943304,0.7154583304250275,0.05920969666499828
90,0.5497833899918324,0.35904564328811817,0.7384975662479212,0.06647577201825847
91,0.5827828606200364,0.3878994875029256,0.7985862828793199,0.0710461436125062
92,0.5807988635016462,0.40769018654151856,0.80444429826022,0.07983979242226122
93,0.5258256759507594,0.3181236897192718,0.7464596514160245,0.07552250325077274
94,0.5739517295488751,0.41255057738598416,0.7351322065621507,0.06304785226391708
95,0.548102259253969,0.39042756153981684,0.6959689075135854,0.05838280335038635
96,0.5606422415391105,0.3627912979585605,0.8113695448703208,0.08137134511681315
