Date,DBA,DBC,EEM,EFA,FXE,FXY,GLD,HYG,IEF,IWM,LQD,QQQ,SLV,SPY,TLT,USO,UUP,VNQ,XLE,XLK
2016-04-12,2.8568588132766704,2.445838595524157,3.3090291317536447,3.7338382355448068,4.660479046864956,4.491441420659749,4.787908348087985,3.8651607492578703,4.46952946230825,4.56915861855109,4.416670864114513,4.624152167138235,2.7350166394301496,5.16191276189106,4.58802351490473,4.44406205786051,3.0130985511931137,4.020480671559243,3.052372527880192,2.9826196775751783
2016-04-13,2.8608016524308133,2.4509536641471716,3.3266416105215724,3.749586469996824,4.650907934811216,4.48368026083256,4.777188821521994,3.8717157036160117,4.470253382394913,4.5904871096213204,4.4201184040542305,4.636855253127861,2.7369615174193824,5.171963003305075,4.591530529247247,4.431768748346225,3.0208678511520684,4.016044795803177,3.0570521851089874,2.9927787738083693
2016-04-14,2.8603096195702977,2.442903909015272,3.321764278096564,3.752843579169893,4.648637165776866,4.482324383594472,4.763113669265826,3.871352236324761,4.4678970605934705,4.589239443217045,4.419446639266203,4.636945646430067,2.7304638058861697,5.172011134807273,4.586724043340801,4.428910176892991,3.0233090999179737,4.010501849119132,3.059383424376052,2.992554259193529
2016-04-15,2.8710782694096113,2.4392233980906757,3.3159955154235976,3.7506160924062075,4.650817118431669,4.488973377874436,4.770006412913086,3.869777672672382,4.470886906414729,4.591732834663535,4.42363735005447,4.634418356966706,2.7382560456267386,5.170904996963929,4.595252854773535,4.406719247264253,3.020460520364401,4.017965451646085,3.045784124604359,2.9887271852201387
2016-04-18,2.876903321015262,2.4436383056272377,3.320613184780469,3.759156100513334,4.653173631851893,4.487624663321995,4.768478785456489,3.8754585939434003,4.469891225822383,4.599263340057677,4.424723548899975,4.639736644636234,2.73566537308291,5.1779069141288385,4.590921355210043,4.3988837592421675,3.0184210010151213,4.022751389597425,3.06217427419701,2.993003524911815
2016-04-19,2.889409673639112,2.464707124623596,3.3357584579965374,3.7763543206554644,4.657869919617591,4.4851471709157735,4.783985618765141,3.8796685761905856,4.468260464884477,4.600057421869573,4.426560633760555,4.633604464896785,2.780060789140106,5.181056350377489,4.587794529122893,4.425086083941157,3.0135088911855568,4.023228398345166,3.0819495683684046,2.987373576609151
2016-04-20,2.90128916082306,2.48393151935145,3.3312102874618605,3.7771899324193328,4.651452222896584,4.478926452489045,4.778871370749031,3.88158786564068,4.4631692773581815,4.601555567858264,4.423805111316502,4.634418356966706,2.78130062502572,5.18200863495907,4.576732689357647,4.4552771176850205,3.019237252088152,4.006142429733843,3.0908655744793085,2.98940402284566
2016-04-21,2.892273588169312,2.4796913365675466,3.3211890692507735,3.7711581830706873,4.651542981619171,4.481871986904671,4.782646675785949,3.8784680838801027,4.461527156253478,4.596523443875531,4.423386661918803,4.634508526277987,2.7856282792684133,5.176615749804043,4.5707668362800185,4.451552722231895,3.019237252088152,3.988141774137389,3.084980858206638,2.985791421224932
2016-04-22,2.871564817498827,2.4754330178174797,3.3151275141054692,3.771662403667602,4.645540589298571,4.462799883401928,4.769751981126739,3.880749087280768,4.460430761884821,4.606387096619097,4.42447386418047,4.619300833497221,2.78130062502572,5.176615749804043,4.568198936742336,4.4552771176850205,3.0249330783072885,3.998956565923761,3.0994041522762954,2.96822086014111
2016-04-25,2.8846181448035337,2.474721451439392,3.3087376036278844,3.76661083795012,4.648546142930581,4.466023079129484,4.772631908268268,3.8769042984402673,4.459333782024563,4.599263340057677,4.422130720191938,4.619300833497221,2.783157678307256,5.17489159999653,4.564061650759748,4.435567419681045,3.021682201158949,4.007234136914706,3.088153680153776,2.9684516883749077
2016-04-26,2.8960796022896664,2.487451467817819,3.3194607649214305,3.7701496819081637,4.6510893242218,4.463491418204919,4.776599275905784,3.880269345533717,4.457226703057271,4.609012586981875,4.421712027696761,4.614425547272139,2.7905514788157535,5.176376605891569,4.559514192846447,4.459913212148408,3.0188291632398703,4.0111055934372795,3.104017870238777,2.963606464386506
2016-04-27,2.888931414628558,2.4965456411963487,3.325496052431981,3.7708222461646304,4.653173631851893,4.462338565043039,4.779459578775704,3.88613051937729,4.462713407916993,4.612502703804964,4.42806070021319,4.606371246652443,2.7960610271896718,5.178432495133127,4.569444967795923,4.489983806997892,3.017603989827732,4.010501849119132,3.1228442850928064,2.958970281483038
2016-04-28,2.887016725902191,2.5021011762251106,3.3151275141054692,3.7571130652677276,4.656788233850902,4.495243665733168,4.79818437986904,3.884459243934237,4.46617248169049,4.6010267872947725,4.4289759673395235,4.594213622429018,2.8195916031316988,5.1693154082595765,4.573560086939157,4.497139465573745,3.0093970478033882,4.00844569482623,3.107870439584957,2.9463446113151672
