,simulation,hurst
619,620,0.5947563807350503
620,621,0.57725744200474
621,622,0.5629363721354207
622,623,0.525927737327712
623,624,0.5718763820035325
624,625,0.5169941931504365
625,626,0.5551573872797795
626,627,0.570477581029303
627,628,0.5880797613973849
628,629,0.5004496157908093
629,630,0.5251903762402331
630,631,0.476982284384361
631,632,0.5487390058143565
632,633,0.5493390154501467
633,634,0.5997656477749173
634,635,0.526297850522414
635,636,0.5976858729545096
636,637,0.5113405728175549
637,638,0.5450189990804398
638,639,0.5373045383721445
639,640,0.5539470618305274
640,641,0.5771888992653792
641,642,0.5653411331201669
642,643,0.5087278506810136
643,644,0.5505604108355225
644,645,0.5779478553736792
645,646,0.582081936280056
646,647,0.5732651196001899
647,648,0.5651245289970475
648,649,0.5484294718397072
649,650,0.5189341391539027
650,651,0.5604073508004955
651,652,0.5250367144791404
652,653,0.5887770879938108
653,654,0.6048828668559946
654,655,0.5841250003652175
655,656,0.5680148517315294
656,657,0.5773372958672595
657,658,0.5831277053533036
658,659,0.5705226146487131
659,660,0.5325721837873105
660,661,0.598203203830817
661,662,0.5341909775185129
662,663,0.525146030845453
663,664,0.5409682518840419
664,665,0.565575199794567
665,666,0.6028531909387015
666,667,0.5176189015492868
667,668,0.5242867187662704
668,669,0.5773591254426297
669,670,0.5264741926410998
670,671,0.5742731296777579
671,672,0.5712788758531856
672,673,0.551824192655912
673,674,0.5961279553340999
674,675,0.5434519536268887
675,676,0.5192665135747914
676,677,0.5474023761775348
677,678,0.5511962867594836
678,679,0.5793817494621537
679,680,0.571124241215246
680,681,0.5008387368208098
681,682,0.5619082095164097
682,683,0.4735736833020507
683,684,0.5269712777590988
684,685,0.5723638700603653
685,686,0.5253114741710246
686,687,0.5017263714037021
687,688,0.5012894572520155
688,689,0.5397157828344449
689,690,0.5119340862026199
690,691,0.5211352120050189
691,692,0.5862673122399086
692,693,0.578186836942939
693,694,0.46408309822206045
694,695,0.5470869468981083
695,696,0.5453941358085136
696,697,0.4861220294245775
697,698,0.5458084998101934
698,699,0.5201627520099809
699,700,0.5215033779927095
700,701,0.5743201070561305
701,702,0.5330281339727402
702,703,0.5145432294354052
703,704,0.5371571287773429
704,705,0.5859574956949795
705,706,0.5311620203820403
706,707,0.5501495540977163
707,708,0.5675499717710012
708,709,0.6016035260875583
709,710,0.4977085135721445
710,711,0.5120982870845068
711,712,0.46587969813885666
712,713,0.47410227282491324
713,714,0.5227912858348612
714,715,0.5326534667674375
715,716,0.5286336618686536
716,717,0.5455478298434795
717,718,0.5432673176244107
718,719,0.583772267309405
719,720,0.5223330091979314
720,721,0.5407362683827293
721,722,0.5546985732252168
722,723,0.48941557961723736
723,724,0.5304128818258161
724,725,0.5061703896943782
725,726,0.5486153690072842
726,727,0.5335352327004442
727,728,0.5535712974756941
728,729,0.5526364788032657
729,730,0.5031145814393463
730,731,0.5484655611977693
731,732,0.5905546000590607
732,733,0.5285627955128969
733,734,0.5877894750938895
734,735,0.5121954127442176
735,736,0.5887322990196779
736,737,0.5644021778563767
737,738,0.542708822203206
738,739,0.5526949167461181
739,740,0.5854382938746017
740,741,0.5392347719391191
741,742,0.5056003132031442
742,743,0.49461595122103125
743,744,0.5763058671724836
744,745,0.4909887414333061
745,746,0.5404718587510422
746,747,0.5120487146969601
747,748,0.5825466423557487
748,749,0.5358309094192834
749,750,0.5657245700103766
750,751,0.5517864600172003
751,752,0.5364642698127524
752,753,0.54032455391509
753,754,0.6193169157819005
754,755,0.5207284035773211
755,756,0.4948198423592946
756,757,0.5907703937384171
757,758,0.5381491476030668
758,759,0.525920048339927
759,760,0.5459238638273117
760,761,0.5240605046466132
761,762,0.4759448709262298
762,763,0.49446456251644144
763,764,0.5010573295432448
764,765,0.5263173131618752
